"question_code";"question_text"
"01";"Te gusta comer gusanos?"
"02";"Haces ejercicio todos los días?"
"03";"Tiennes un coche rojo?"
"04";"Sabes Hablar ruso?"
"05";"Te llamas Silvia?"
"06";"Mides mas de 1´90 ?"
"07";"Tienes hijas?"
"08";"naciste en España?"
"09";"Eres una mujer?"
"10";"Tienes un perro?"
"11";"Tienes un gato?"
"12";"Tienes un coche negro?"
"13";"Sabes hablar chino?"
"14";"Vives en Japon?"
"15";"Te llamas Yolanda?"
"16";"Te llamas Pedro?"
"17";"Tienes coche?"
"18";"Tienes alguna hija mayor de edad?"
"19";"Estudiaste alguna ingenieria?"
"20";"Estudiaste empresariales?"
"21";"Has estado en Australia?"
"22";"Has estado en Japon?"
"23";"Has estrado en Estads unidos?"
"24";"Has estado en Rusia?"
"25";"Juegas a jokey sobre hielo habitualmente?"
"26";"Montas a caballo todos los dias?"
"27";"Vives en Sevilla?"
"28";"Vives en Bilbao?"
"29";"Eres dentista?"
"30";"Has jugado a pitch & putt alguna vez?"
"31";"Eres ingeniero?"
"32";"Tienes un coche marca Kia?"
"33";"Sabes hablar aleman?"
"34";"Vives en Nueva Zelanda?"
"35";"Tu padre se llama Jose?"
"36";"Hablas ingles?"
"37";"Tienes una bicileta?"
"38";"Tienes una casa en Madrid?"
"39";"Tienes la licencia PER?"
"40";"Has tarbajado en Edreams?"
"41";"Has estado en Rumania?"
"42";"Has estado en Mexico?"
"43";"Has volado en avion?"
"44";"Has viajado estado en Noruega?"
"45";"Te gusta la comida Mexicana?"
"46";"Trabajas desde casa?"
"47";"has tenido alguna tienda?"
"48";"Tienes menos de 30 años?"
"49";"Estas casado?"





