person,questionCode,session_code,record_prefix,response
javier,1,ses03,javier_ses01,0
javier,2,ses03,javier_ses01,0
javier,3,ses03,javier_ses01,1
javier,4,ses03,javier_ses01,0
javier,5,ses03,javier_ses01,0
javier,6,ses03,javier_ses01,1
javier,7,ses03,javier_ses01,0
javier,8,ses03,javier_ses01,1
javier,9,ses03,javier_ses01,1
javier,10,ses03,javier_ses01,0
javier,11,ses03,javier_ses01,0
javier,12,ses03,javier_ses01,1
javier,13,ses03,javier_ses01,0
javier,14,ses03,javier_ses01,0
javier,15,ses03,javier_ses01,1
javier,16,ses03,javier_ses01,0
javier,17,ses03,javier_ses01,1
javier,18,ses03,javier_ses01,0
javier,19,ses03,javier_ses01,1
javier,20,ses03,javier_ses01,0
javier,21,ses03,javier_ses01,1
javier,22,ses03,javier_ses01,0
javier,23,ses03,javier_ses01,1
javier,24,ses03,javier_ses01,1
javier,25,ses03,javier_ses01,0
javier,26,ses03,javier_ses01,0
javier,27,ses03,javier_ses01,1
javier,28,ses03,javier_ses01,0
javier,29,ses03,javier_ses01,0
javier,30,ses03,javier_ses01,1
javier,31,ses03,javier_ses01,1
javier,32,ses03,javier_ses01,1
javier,33,ses03,javier_ses01,0
javier,34,ses03,javier_ses01,0
javier,35,ses03,javier_ses01,1
javier,36,ses03,javier_ses01,1
javier,37,ses03,javier_ses01,1
javier,38,ses03,javier_ses01,0
javier,39,ses03,javier_ses01,1
javier,40,ses03,javier_ses01,1
javier,41,ses03,javier_ses01,0
javier,42,ses03,javier_ses01,1
javier,43,ses03,javier_ses01,1
javier,44,ses03,javier_ses01,0
javier,45,ses03,javier_ses01,1
javier,46,ses03,javier_ses01,1
javier,47,ses03,javier_ses01,0
javier,48,ses03,javier_ses01,1
javier,49,ses03,javier_ses01,1

